Kanton,BAG_Region,Franchise,Modell,Krankenkasse,Jahr,Praemie,Modell_Franchise
BE,BE1_BAG,2500,GV_Hausarzt,Galenos,2022,342.2999878,GV_Hausarzt_2500
BE,BE1_BAG,300,GV_OKP,KVF,2020,564.5999756,GV_OKP_300
BE,BE1_BAG,2500,GV_OKP,AMB,2020,430.6000061,GV_OKP_2500
BE,BE1_BAG,300,GV_Telmed,KPT,2020,470.5500031,GV_Telmed_300
BE,BE1_BAG,2500,GV_Hausarzt,Sana24,2022,367.4499969,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_OKP,Galenos,2024,505.8999939,GV_OKP_2500
BE,BE1_BAG,300,GV_Telmed,Aquilana,2024,482.2999878,GV_Telmed_300
BE,BE1_BAG,2500,GV_Hausarzt,KMU-Krankenversicherung,2016,358.3,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_Telmed,Sympany - Vivao,2021,317.75,GV_Telmed_2500
BE,BE1_BAG,300,GV_Telmed,KVF,2021,505.4000092,GV_Telmed_300
BE,BE1_BAG,2500,GV_OKP,Klug,2020,430.8999939,GV_OKP_2500
BE,BE1_BAG,300,GV_OKP,Provita,2020,546.7999878,GV_OKP_300
BE,BE1_BAG,2500,GV_HMO,Sana24,2022,353.7999878,GV_HMO_2500
BE,BE1_BAG,300,GV_Telmed,Visana,2024,520.6999969,GV_Telmed_300
BE,BE1_BAG,2500,GV_Telmed,KK Steffisburg,2023,346.2000122,GV_Telmed_2500
BE,BE1_BAG,300,GV_OKP,Visana,2023,551.0999756,GV_OKP_300
BE,BE1_BAG,300,GV_OKP,Aquilana,2018,485,GV_OKP_300
BE,BE1_BAG,300,GV_Hausarzt,Rhenusana,2018,487.3,GV_Hausarzt_300
BE,BE1_BAG,300,GV_Hausarzt,Assura,2016,351.7,GV_Hausarzt_300
BE,BE1_BAG,300,GV_Telmed,Sympany - Kolping,2017,585.9,GV_Telmed_300
BE,BE1_BAG,2500,GV_Hausarzt,Wincare,2016,382.3,GV_Hausarzt_2500
BE,BE1_BAG,300,GV_Hausarzt,Sumiswalder KK,2016,420.8,GV_Hausarzt_300
BE,BE1_BAG,2500,GV_OKP,Sympany - Vivao,2017,354.1,GV_OKP_2500
BE,BE1_BAG,2500,GV_OKP,CSS,2021,406.1000061,GV_OKP_2500
BE,BE1_BAG,2500,GV_OKP,Swica,2021,409.7999878,GV_OKP_2500
BE,BE1_BAG,300,GV_Hausarzt,KVF,2021,508.1000061,GV_Hausarzt_300
BE,BE1_BAG,300,GV_OKP,Helsana,2022,488.2999878,GV_OKP_300
BE,BE1_BAG,300,GV_Hausarzt,Agrisano,2022,493.6000061,GV_Hausarzt_300
BE,BE1_BAG,2500,GV_Telmed,Sana24,2020,388.1000061,GV_Telmed_2500
BE,BE1_BAG,2500,GV_HMO,Atupri,2020,322.7000122,GV_HMO_2500
BE,BE1_BAG,300,GV_Telmed,Sympany - Vivao,2022,430.6000061,GV_Telmed_300
BE,BE1_BAG,2500,GV_HMO,Sympany - Moove,2023,386.3999939,GV_HMO_2500
BE,BE1_BAG,2500,GV_Hausarzt,KPT,2023,336.25,GV_Hausarzt_2500
BE,BE1_BAG,2500,GV_Telmed,KVF,2018,336.1,GV_Telmed_2500
